"Name";"CompanyName"
"AWS.Tools.CodeBuild";"aws-dotnet-sdk-team"
"AWS.Tools.CodeCommit";"aws-dotnet-sdk-team"
"AWS.Tools.CodeDeploy";"aws-dotnet-sdk-team"
"AWS.Tools.CodeGuruProfiler";"aws-dotnet-sdk-team"
"AWS.Tools.CodeGuruReviewer";"aws-dotnet-sdk-team"
"AWS.Tools.CodePipeline";"aws-dotnet-sdk-team"
"AWS.Tools.CodeStar";"aws-dotnet-sdk-team"
"AWS.Tools.CodeStarconnections";"aws-dotnet-sdk-team"
"AWS.Tools.CodeStarNotifications";"aws-dotnet-sdk-team"
"AWS.Tools.CognitoIdentity";"aws-dotnet-sdk-team"
"AWS.Tools.CognitoIdentityProvider";"aws-dotnet-sdk-team"
"AWS.Tools.CognitoSync";"aws-dotnet-sdk-team"
"AWS.Tools.Common";"aws-dotnet-sdk-team"
"AWS.Tools.Comprehend";"aws-dotnet-sdk-team"
"AWS.Tools.ComprehendMedical";"aws-dotnet-sdk-team"
"AWS.Tools.ComputeOptimizer";"aws-dotnet-sdk-team"
"AWS.Tools.ConfigService";"aws-dotnet-sdk-team"
"AWS.Tools.Connect";"aws-dotnet-sdk-team"
"AWS.Tools.ConnectCampaignService";"aws-dotnet-sdk-team"
"AWS.Tools.ConnectContactLens";"aws-dotnet-sdk-team"
"AWS.Tools.ConnectParticipant";"aws-dotnet-sdk-team"
"AWS.Tools.ConnectWisdomService";"aws-dotnet-sdk-team"
"AWS.Tools.CostAndUsageReport";"aws-dotnet-sdk-team"
"AWS.Tools.CostExplorer";"aws-dotnet-sdk-team"
"AWS.Tools.CustomerProfiles";"aws-dotnet-sdk-team"
"AWS.Tools.DatabaseMigrationService";"aws-dotnet-sdk-team"
"AWS.Tools.DataExchange";"aws-dotnet-sdk-team"
"AWS.Tools.DataPipeline";"aws-dotnet-sdk-team"
"AWS.Tools.DataSync";"aws-dotnet-sdk-team"
"AWS.Tools.DAX";"aws-dotnet-sdk-team"
"AWS.Tools.Detective";"aws-dotnet-sdk-team"
"AWS.Tools.DeviceFarm";"aws-dotnet-sdk-team"
"AWS.Tools.DevOpsGuru";"aws-dotnet-sdk-team"
"AWS.Tools.DirectConnect";"aws-dotnet-sdk-team"
"AWS.Tools.DirectoryService";"aws-dotnet-sdk-team"
"AWS.Tools.DLM";"aws-dotnet-sdk-team"
"AWS.Tools.DocDB";"aws-dotnet-sdk-team"
"AWS.Tools.Drs";"aws-dotnet-sdk-team"
"AWS.Tools.DynamoDBv2";"aws-dotnet-sdk-team"
"AWS.Tools.EBS";"aws-dotnet-sdk-team"
"AWS.Tools.EC2";"aws-dotnet-sdk-team"
"AWS.Tools.EC2InstanceConnect";"aws-dotnet-sdk-team"
"AWS.Tools.ECR";"aws-dotnet-sdk-team"
"AWS.Tools.ECRPublic";"aws-dotnet-sdk-team"
"AWS.Tools.ECS";"aws-dotnet-sdk-team"
"AWS.Tools.EKS";"aws-dotnet-sdk-team"
"AWS.Tools.ElastiCache";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticBeanstalk";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticFileSystem";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticInference";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticLoadBalancing";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticLoadBalancingV2";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticMapReduce";"aws-dotnet-sdk-team"
"AWS.Tools.Elasticsearch";"aws-dotnet-sdk-team"
"AWS.Tools.ElasticTranscoder";"aws-dotnet-sdk-team"
"AWS.Tools.EMRContainers";"aws-dotnet-sdk-team"
"AWS.Tools.EMRServerless";"aws-dotnet-sdk-team"
"AWS.Tools.EventBridge";"aws-dotnet-sdk-team"
"AWS.Tools.Finspace";"aws-dotnet-sdk-team"
"AWS.Tools.FinSpaceData";"aws-dotnet-sdk-team"
"AWS.Tools.FIS";"aws-dotnet-sdk-team"
"AWS.Tools.FMS";"aws-dotnet-sdk-team"
"AWS.Tools.ForecastQueryService";"aws-dotnet-sdk-team"
"AWS.Tools.ForecastService";"aws-dotnet-sdk-team"
"AWS.Tools.FraudDetector";"aws-dotnet-sdk-team"
"AWS.Tools.FSx";"aws-dotnet-sdk-team"
"AWS.Tools.GameLift";"aws-dotnet-sdk-team"
"AWS.Tools.GameSparks";"aws-dotnet-sdk-team"
"AWS.Tools.Glacier";"aws-dotnet-sdk-team"
"AWS.Tools.GlobalAccelerator";"aws-dotnet-sdk-team"
"AWS.Tools.Glue";"aws-dotnet-sdk-team"
"AWS.Tools.GlueDataBrew";"aws-dotnet-sdk-team"
"AWS.Tools.Greengrass";"aws-dotnet-sdk-team"
"AWS.Tools.GreengrassV2";"aws-dotnet-sdk-team"
"AWS.Tools.GroundStation";"aws-dotnet-sdk-team"
"AWS.Tools.GuardDuty";"aws-dotnet-sdk-team"
"AWS.Tools.HealthLake";"aws-dotnet-sdk-team"
"AWS.Tools.Honeycode";"aws-dotnet-sdk-team"
"AWS.Tools.IAMRolesAnywhere";"aws-dotnet-sdk-team"
"AWS.Tools.IdentityManagement";"aws-dotnet-sdk-team"
"AWS.Tools.IdentityStore";"aws-dotnet-sdk-team"
"AWS.Tools.Imagebuilder";"aws-dotnet-sdk-team"
"AWS.Tools.ImportExport";"aws-dotnet-sdk-team"
"AWS.Tools.Inspector";"aws-dotnet-sdk-team"
"AWS.Tools.Inspector2";"aws-dotnet-sdk-team"
"AWS.Tools.Installer";"aws-dotnet-sdk-team"
"AWS.Tools.IoT";"aws-dotnet-sdk-team"
"AWS.Tools.IoTDeviceAdvisor";"aws-dotnet-sdk-team"
"AWS.Tools.IoTEvents";"aws-dotnet-sdk-team"
"AWS.Tools.IoTEventsData";"aws-dotnet-sdk-team"
"AWS.Tools.IoTFleetHub";"aws-dotnet-sdk-team"
"AWS.Tools.IoTJobsDataPlane";"aws-dotnet-sdk-team"
"AWS.Tools.IoTSecureTunneling";"aws-dotnet-sdk-team"
"AWS.Tools.IoTSiteWise";"aws-dotnet-sdk-team"
"AWS.Tools.IoTThingsGraph";"aws-dotnet-sdk-team"
"AWS.Tools.IoTTwinMaker";"aws-dotnet-sdk-team"
"AWS.Tools.IoTWireless";"aws-dotnet-sdk-team"
"AWS.Tools.IVS";"aws-dotnet-sdk-team"
"AWS.Tools.Ivschat";"aws-dotnet-sdk-team"
